Kabupaten/Kota,IKAN,Ekor kuning,"Tongkol, tuna, cakalang, dencis, ikan kayu",Tongkol,Tuna,"Cakalang,dencis",Tenggiri,Selar,"Kembung, lema/tatare, banyar/banyara",Teri,Bandeng,Gabus,Mujair,"Mas, nila",Mas,Nila,Lele,Kakap,Baronang,Patin,Bawal,Gurame,Ikan segar/basah lainnya,"Udang, lobster","Cumi-cumi, sotong, gurita","Ketam, kepiting, rajungan","Kerang, siput, bekicot, remis",Udang dan hewan air lainnya yang segar lainnya,Kembung diawetkan/peda,Tenggiri diawetkan,Tongkol/tuna/cakalang diawetkan,Teri diawetkan,Selar diawetkan,Sepat diawetkan,Bandeng diawetkan,Gabus diawetkan,"Ikan dalam kaleng (sardencis, tuna dalam kaleng, dsb)",Ikan diawetkan lainnya,"Udang diawetkan (ebi, rebon)","Cumi-cumi, sotong, gurita diawetkan",ang dan hewan air lainnya yang diawetkan
Bengkalis,20872,165,-,1631,60,98,995,1636,1948,43,34,830,73,-,399,1509,1634,76,1,942,225,52,2020,1497,255,53,376,120,407,95,12,2487,113,150,5,54,297,155,253,146,27
Rokan Hilir,21211,83,-,1295,20,530,9,156,3080,67,14,2261,196,-,254,1405,1208,22,19,1346,129,136,2738,1361,233,169,967,147,233,90,60,1567,200,77,4,22,200,359,504,32,18
Kepulauan Meranti,18189,93,-,1894,68,25,779,1154,1127,79,-,39,-,-,-,53,539,107,-,160,259,270,4767,2340,118,33,636,502,420,22,43,1296,10,10,-,-,555,700,59,21,11
Kota Pekanbaru,24742,150,-,2727,290,139,104,858,891,85,22,333,157,-,292,3257,2089,275,27,2035,47,384,1886,3222,971,-,208,138,79,29,8,2471,161,370,8,69,577,252,62,62,7
Kota Dumai,23004,100,-,3163,192,687,430,694,1950,42,57,519,29,-,216,1818,1977,282,46,1513,168,142,2324,1837,851,54,410,143,202,97,11,2218,87,107,-,45,190,207,97,90,7
Kerinci,18023,23,-,2868,157,230,-,119,129,13,-,55,2394,-,1372,2310,903,-,-,57,-,-,1906,529,92,-,67,34,59,61,69,2012,83,425,20,155,462,1105,265,22,27
Merangin,13225,41,-,1281,34,383,24,68,68,8,40,303,112,-,2456,2265,1045,11,-,538,31,103,1003,134,44,-,28,17,15,53,134,2267,29,50,51,21,187,322,2,3,57
Sarolangun,13885,-,-,1066,42,36,-,-,7,11,16,575,7,-,1714,3747,631,37,-,1748,24,7,561,149,72,-,43,10,129,35,323,2174,16,23,-,15,511,149,-,6,2
Batang Hari,14144,13,-,922,6,171,-,71,57,171,-,877,26,-,102,3797,678,-,21,2842,15,50,813,959,95,41,41,95,31,65,58,1614,27,26,3,42,253,154,-,10,-
Muaro Jambi,15062,24,-,685,-,820,21,13,346,33,205,1048,70,-,276,4338,1181,81,-,1817,32,117,692,535,181,13,133,10,48,6,28,1525,13,50,-,12,463,184,41,15,6
Tanjung Jabung Timur,21561,72,-,1518,-,524,153,56,1112,5,58,1315,32,-,489,3169,1065,80,17,1155,1667,139,2859,1887,437,289,662,775,54,15,15,1499,11,1,16,17,105,231,49,-,10
Tanjung Jabung Barat,14866,70,-,563,28,941,76,89,1191,40,186,835,40,-,261,2085,1028,160,13,1356,588,79,1234,1137,229,15,438,314,42,23,81,1125,3,9,-,3,209,279,63,12,21
Tebo,12436,-,-,921,87,247,-,41,118,24,77,770,43,-,504,3025,1128,28,11,1774,7,22,418,281,122,-,16,23,20,14,24,2048,17,13,1,43,312,247,-,3,8
Bungo,16477,9,-,1869,112,55,31,49,225,48,26,472,66,-,1702,3112,767,18,10,1519,22,141,1265,1095,337,-,27,77,67,59,130,2361,48,100,-,14,417,192,12,24,-
Kota Jambi,19613,71,-,982,62,1277,68,111,701,129,67,918,146,-,446,4624,1576,47,6,1733,183,424,308,2184,574,55,488,136,106,44,31,1617,10,89,19,63,208,40,43,28,-
Kota Sungai Penuh,16177,68,-,2899,58,307,34,260,105,36,100,64,2254,-,312,3222,814,7,-,163,53,-,375,1075,137,9,138,48,79,36,117,1686,52,129,-,125,456,752,156,-,51
Ogan Komering Ulu,11089,4,-,723,27,193,-,-,232,18,121,382,2183,-,247,559,1610,16,-,1917,1,62,554,248,153,-,2,21,169,7,209,567,47,256,1,10,260,237,27,21,7
Ogan Komering Ilir,16566,17,-,786,5,137,26,9,118,40,633,2864,398,-,221,1988,1558,328,7,2110,81,75,1816,816,133,214,251,45,97,12,213,147,18,544,55,40,337,347,54,15,11
Muara Enim,11517,9,-,624,19,179,14,18,79,22,47,611,276,-,456,3027,1127,35,11,2142,20,5,377,405,254,1,73,67,23,11,20,616,39,448,30,17,212,146,33,23,-
Lahat,11935,19,-,294,10,652,-,-,133,16,30,103,2606,-,549,1323,1680,18,-,1393,8,52,620,467,389,6,37,64,5,1,37,417,64,158,-,19,230,484,39,-,11
Musi Rawas,10325,-,-,325,56,151,7,-,49,14,34,1078,56,-,313,2923,1203,98,-,1467,6,-,365,129,50,-,8,188,118,16,112,826,32,104,4,22,379,183,7,-,2
Musi Banyuasin,15697,54,-,885,16,339,2,7,303,44,233,1503,56,-,146,3576,1718,12,16,2354,9,25,902,604,126,55,179,12,57,23,146,804,45,410,7,128,573,222,93,14,1
Banyu Asin,17140,31,-,847,7,239,135,271,1067,119,819,2385,216,-,122,1972,1440,55,17,2228,93,126,1332,941,262,24,334,62,175,25,21,595,35,415,13,51,196,333,59,55,24
Ogan Komering Ulu Selatan,7672,11,-,431,14,22,2,54,20,22,170,30,1818,-,311,701,1249,2,-,1027,-,-,271,186,-,-,29,33,14,5,153,521,41,203,4,15,53,236,4,18,1
Ogan Komering Ulu Timur,11241,35,-,720,16,80,-,55,44,22,128,1569,1218,-,495,752,2147,10,14,1899,41,101,478,60,96,-,4,25,37,2,212,243,34,54,-,27,176,371,33,35,6
Ogan Ilir,12436,-,-,482,-,162,-,41,195,5,31,1353,9,-,17,2035,1082,8,0,2822,9,6,2183,301,39,-,50,50,83,1,86,352,55,628,6,10,225,103,-,9,-
Empat Lawang,8237,32,-,664,94,322,4,65,42,10,-,33,1345,-,233,1717,761,11,9,640,-,5,349,15,35,-,8,71,5,44,47,682,79,184,-,8,126,550,14,-,37
Penukal Abab Lematang Ilir,11177,-,-,774,3,9,-,-,-,8,43,1207,54,-,104,2102,1107,-,13,2928,17,62,666,232,93,1,90,23,23,3,17,547,35,525,6,30,373,64,10,3,5
Musi Rawas Utara,13294,89,-,906,-,86,-,-,4,54,8,951,111,-,1330,2745,559,0,29,2267,19,6,1227,182,144,-,16,118,100,13,156,1182,13,220,3,30,357,158,6,202,3
Kota Palembang,18035,17,-,358,101,465,268,129,798,41,206,1020,2153,-,149,1628,2155,221,-,2356,50,314,769,1796,878,100,235,81,202,3,45,493,27,342,22,53,203,234,40,76,7
Kota Prabumulih,12028,-,-,492,18,291,49,20,102,6,42,939,64,-,142,2876,1734,10,31,2185,-,124,302,767,426,1,106,19,51,-,10,389,95,388,-,5,116,196,7,15,9
Kota Pagar Alam,7964,-,-,618,57,549,14,-,11,1,10,20,1489,-,151,1649,1206,13,-,632,-,-,80,334,46,-,15,52,1,3,61,450,55,172,17,9,65,151,13,12,9
Kota Lubuklinggau,11628,0,-,557,22,1335,43,8,30,-,12,378,49,-,444,3299,987,41,-,1491,12,159,230,713,327,-,22,0,35,12,44,690,7,159,1,48,219,229,13,2,8
Bengkulu Selatan,15533,3,-,579,995,1425,132,-,116,33,70,516,58,-,595,5133,894,185,-,44,8,30,1789,799,80,3,175,148,15,7,146,855,20,43,-,14,450,168,6,-,0
Rejang Lebong,8828,-,-,579,208,1834,5,-,-,-,-,71,240,-,799,1843,365,112,-,364,-,-,228,78,67,-,30,66,-,23,60,1007,20,133,1,14,303,349,9,7,13
Bengkulu Utara,11001,65,-,829,719,1893,55,15,19,4,16,155,6,-,238,3114,580,91,-,25,19,80,683,333,63,-,3,32,14,27,21,1094,67,96,14,-,403,199,8,-,20
Kaur,14455,266,-,2297,1554,957,166,26,232,24,79,356,95,-,204,3255,438,126,218,3,48,4,1744,577,102,107,111,111,-,24,163,417,23,10,-,4,318,368,-,-,29
Seluma,12960,12,-,1018,379,2104,104,68,6,86,45,605,68,-,256,3601,378,58,-,139,14,42,1546,349,40,65,127,110,3,30,50,700,62,40,-,9,473,344,2,5,21
Mukomuko,14494,153,-,2101,1157,383,349,32,941,32,38,530,118,-,426,3400,679,85,-,137,41,53,1604,755,196,33,27,100,21,9,59,603,26,1,-,10,86,288,2,0,15
Lebong,12656,4,-,1328,41,271,20,-,16,18,23,249,230,-,2242,3014,884,41,-,289,26,2,492,284,47,-,32,118,5,61,88,1798,43,165,-,48,308,415,37,-,16
Kepahiang,10140,43,-,967,427,2020,168,-,0,19,-,-,523,-,454,1615,361,75,-,157,-,-,152,347,189,-,21,71,14,9,14,1517,34,164,-,20,306,388,19,33,14
Bengkulu Tengah,11320,-,-,1485,916,1633,31,11,33,54,47,260,178,-,361,3075,280,74,9,44,29,-,802,403,21,14,6,34,2,60,27,883,51,34,-,-,271,165,-,23,5
Kota Bengkulu,16620,138,-,1027,1849,2062,32,7,60,134,17,387,325,-,197,2804,986,869,-,179,175,105,1172,1763,429,144,9,108,4,2,25,738,9,179,36,53,306,284,2,-,5
Lampung Barat,11357,159,-,1416,239,246,100,84,160,20,140,278,1242,-,879,2682,1159,9,-,108,29,60,115,241,177,-,75,36,123,6,156,274,54,71,31,27,168,740,37,-,16
Tanggamus,9338,114,-,1630,48,123,133,1023,836,257,48,106,91,-,916,1001,1056,59,-,125,50,116,411,82,215,7,14,13,50,-,32,178,114,38,3,0,46,388,14,-,-
Lampung Selatan,11472,443,-,1007,71,85,74,599,1455,213,291,393,276,-,278,494,1355,47,-,629,791,121,169,370,874,17,60,20,91,16,137,461,236,179,6,1,74,117,15,10,-
Lampung Timur,9639,9,-,522,11,121,59,102,409,112,604,688,112,-,344,1061,1872,26,-,745,373,266,339,243,244,27,24,56,104,19,187,267,144,44,20,3,64,368,27,14,6
Lampung Tengah,8829,51,-,574,-,144,5,10,109,29,208,881,90,-,487,1039,1941,-,49,898,35,136,375,95,45,-,4,22,61,69,283,313,122,60,1,45,31,577,34,6,2
Lampung Utara,9657,34,-,409,23,202,9,97,377,28,419,415,64,-,1277,1885,1366,9,16,1074,9,113,272,67,156,-,-,38,53,10,256,296,91,58,15,7,100,378,18,7,10
Way Kanan,10768,36,-,547,-,112,10,4,262,11,290,533,75,-,522,1437,2173,78,-,1819,44,99,628,125,160,-,-,38,161,2,195,402,113,53,23,3,149,650,8,-,6
Tulangbawang,10869,13,-,303,-,97,-,37,43,1,749,1924,155,-,183,2219,984,89,8,565,167,98,752,748,113,49,38,207,16,15,166,241,152,100,6,7,65,522,15,23,2
Pesawaran,8937,269,-,1221,44,415,21,658,814,131,85,5,53,-,665,393,1545,48,224,226,37,187,367,49,387,53,30,33,64,2,68,249,128,61,2,5,71,316,5,-,7
Pringsewu,8377,131,-,1106,23,512,20,129,554,84,40,50,195,-,657,625,2172,8,12,266,14,126,237,197,137,-,8,74,56,13,237,266,96,11,-,12,75,231,3,-,2
Mesuji,9982,107,-,549,-,52,-,21,77,18,578,1484,20,-,156,1179,2240,54,4,930,92,79,499,376,9,-,-,40,17,58,46,50,100,17,5,111,162,834,3,-,16
Tulang Bawang Barat,8493,64,-,356,4,73,-,-,242,-,287,748,41,-,319,1546,1667,10,17,836,44,88,495,81,94,-,3,97,125,5,75,168,144,3,-,-,218,612,4,15,12
Pesisir Barat,11993,331,-,2192,1004,282,1133,206,453,67,17,354,951,-,321,1842,475,205,71,3,23,11,707,258,255,-,11,38,88,84,84,285,93,46,-,-,42,40,5,15,-
Kota Bandar Lampung,17882,428,-,1388,485,98,177,493,2062,573,76,156,41,-,535,1159,2133,225,17,937,109,633,1042,1378,2097,34,82,193,166,5,30,273,49,144,12,18,214,279,16,77,47
Kota Metro,12587,88,-,725,76,1008,-,41,949,28,141,293,18,-,701,966,2769,34,-,1190,46,449,345,915,565,-,-,27,100,22,363,256,58,16,47,10,133,126,24,60,-
Bangka,27321,1296,-,1857,8,2133,2099,4612,3025,83,252,429,6,-,49,527,674,326,-,142,92,79,4637,1817,1450,502,194,-,61,18,63,108,58,-,6,5,202,471,19,21,-
Belitung,26711,3979,-,3204,15,144,1686,1287,3383,173,93,193,-,-,-,8,662,162,216,41,34,-,4843,2211,2428,531,200,-,245,4,4,219,272,-,-,17,324,131,-,2,-
Bangka Barat,23736,623,-,1498,53,1241,751,2783,3988,131,448,272,-,-,-,265,468,410,-,55,176,66,4041,2832,1576,140,394,100,100,66,92,315,53,4,-,0,249,464,62,20,-
Bangka Tengah,24249,1026,-,1246,47,1600,579,2899,1767,47,473,339,16,-,40,473,960,119,243,440,195,10,5328,2059,2194,698,220,-,79,71,58,64,120,14,10,9,329,468,8,-,-
Bangka Selatan,22736,745,-,1136,48,475,693,1485,2585,52,2132,790,38,-,63,292,526,569,146,352,847,11,4004,1640,2121,262,308,-,45,14,314,185,79,42,58,13,228,380,46,10,-
Belitung Timur,33813,3397,-,2433,81,365,943,2587,2628,41,33,379,35,-,-,80,301,123,328,16,138,-,9803,3015,3790,905,294,130,64,6,41,196,544,7,5,3,372,642,-,88,-
Kota Pangkal Pinang,29559,876,-,1705,89,1131,3668,4132,2772,26,135,281,44,-,10,637,1443,309,-,426,367,39,4183,2947,2249,226,286,-,139,130,19,268,94,34,14,-,170,615,61,35,-
Karimun,21136,570,-,1924,156,980,2179,1379,2365,161,28,40,58,-,3,146,482,208,74,77,516,31,3178,2561,734,193,378,128,231,31,85,1535,52,49,5,60,263,112,57,106,-
Bintan,21487,1055,-,3220,127,455,342,3151,1589,120,59,185,28,-,20,94,1189,39,23,67,41,42,2886,1620,1931,666,254,162,155,101,45,964,62,27,3,-,300,386,20,50,9
Natuna,19918,807,-,9301,83,6,75,371,669,104,-,34,-,-,-,-,59,97,1,-,-,-,3982,519,2289,465,48,3,5,20,526,305,-,-,-,-,23,88,-,37,4
Lingga,21960,486,-,982,-,49,889,3189,1486,21,148,-,6,-,-,14,306,129,556,-,108,112,6675,1666,1425,434,367,255,97,9,14,1404,38,-,-,-,431,633,-,31,-
Kepulauan Anambas,22829,1195,-,7866,-,30,32,2568,936,89,-,-,-,-,-,-,94,30,154,17,-,-,6498,202,2098,119,35,115,54,-,30,254,13,-,-,-,158,222,-,18,1
Kota Batam,24446,409,-,2617,109,702,406,1943,1799,77,241,241,1065,-,120,194,1779,738,60,427,331,99,2389,2913,1715,303,190,341,169,66,81,1832,165,89,-,16,303,382,52,68,18
Kota Tanjung Pinang,15377,502,-,2754,20,128,165,2691,1094,91,18,15,50,-,13,96,1165,228,37,115,25,116,1829,1373,1006,77,29,38,134,40,64,958,11,14,-,-,277,103,63,38,-
Kep. Seribu,22310,1422,-,5916,97,79,274,1673,1975,672,650,-,29,-,-,-,37,160,2265,73,90,25,987,1066,3827,236,118,103,28,5,13,259,145,-,-,-,13,38,27,7,-
Kota Jakarta Selatan,19511,184,-,1328,651,119,226,265,2369,91,1128,133,711,-,1241,709,2126,340,23,222,494,784,253,2369,946,63,108,164,103,9,335,597,27,132,251,222,145,167,83,376,17
Kota Jakarta Timur,18729,233,-,1747,659,38,214,164,2189,150,780,113,930,-,956,844,2445,288,74,114,473,710,149,1708,777,20,102,112,168,9,305,924,37,125,199,200,207,60,70,424,11
Kota Jakarta Pusat,14193,273,-,1285,549,36,305,118,1851,157,749,48,581,-,566,454,1841,290,73,25,480,275,47,1111,1121,22,35,159,65,9,325,384,13,94,74,172,234,37,9,327,-
Kota Jakarta Barat,16885,149,-,1060,425,68,715,383,2970,173,1272,78,719,-,467,414,1069,372,62,112,785,313,135,1577,1031,55,124,259,81,4,162,772,23,129,40,157,236,65,95,328,7
Kota Jakarta Utara,20009,303,-,1637,526,66,541,176,2869,228,1354,99,1012,-,487,280,1510,514,196,202,1005,655,295,2233,1051,68,129,187,200,58,226,674,48,106,99,119,270,99,103,377,6
Bogor,11434,32,-,613,52,4,16,88,564,63,254,74,539,-,2081,429,692,46,15,130,97,211,21,445,373,2,10,43,142,34,515,1443,206,292,124,286,177,444,272,567,39
Sukabumi,11036,6,-,503,173,40,-,34,252,96,26,6,445,-,2656,956,150,67,-,-,213,30,252,121,134,4,9,5,338,68,717,1611,454,530,38,176,56,311,410,147,2
Cianjur,7624,-,-,139,-,3,14,6,81,20,81,36,335,-,1090,1313,141,18,-,71,351,3,117,111,78,34,65,7,280,6,637,979,111,317,260,95,112,421,77,197,17
Bandung,6806,-,-,304,18,-,1,7,219,11,217,30,415,-,1975,433,178,84,6,181,28,41,54,148,160,1,23,38,292,38,472,67,90,368,282,33,92,166,23,281,29
Garut,6637,5,-,342,1,6,9,1,39,5,134,5,540,-,1980,1064,105,26,-,24,364,28,32,70,103,-,-,4,264,5,212,51,163,286,280,10,85,287,8,94,5
Tasikmalaya,8615,12,-,245,30,2,7,17,56,37,224,47,1641,-,1940,1266,290,13,-,-,81,214,47,401,123,-,2,0,664,13,213,103,49,106,357,15,199,153,8,37,1
Ciamis,8726,-,-,64,-,6,-,79,2,35,97,62,3628,-,1046,737,294,15,-,6,38,417,197,124,128,15,1,35,329,17,179,154,27,68,366,6,182,307,6,17,43
Kuningan,6041,17,-,322,-,3,-,5,83,24,207,24,1530,-,379,421,524,1,-,21,33,138,53,94,106,-,12,38,189,13,119,264,82,46,570,53,138,384,68,68,10
Cirebon,6072,13,-,273,26,2,46,7,314,58,856,43,728,-,181,93,650,58,4,38,51,120,125,487,482,7,93,48,128,12,195,143,31,46,276,11,136,160,30,91,9
Majalengka,4663,2,-,135,31,7,12,16,2,31,83,47,491,-,951,608,321,47,-,19,11,122,17,188,143,52,31,6,152,2,159,70,117,119,210,17,68,287,28,51,9
Sumedang,6977,-,-,134,-,-,-,17,130,1,92,13,1176,-,1862,432,210,7,-,12,38,6,82,131,81,-,10,3,317,16,380,102,310,556,122,32,121,342,37,199,9
Indramayu,9305,71,-,310,24,4,75,38,358,141,1345,357,1109,-,388,432,855,96,13,90,294,88,193,412,1079,54,46,50,217,22,55,259,137,20,234,23,34,269,16,86,11
Subang,9693,57,-,263,-,12,17,35,220,62,403,177,770,-,2185,1144,364,62,-,141,144,80,116,304,608,39,42,12,369,19,309,457,259,272,128,16,136,258,69,133,13
Purwakarta,10464,-,-,245,-,-,39,11,39,93,185,49,97,-,1679,2256,177,18,-,135,119,171,88,239,250,2,16,29,258,82,717,1130,269,571,382,87,154,384,48,416,27
Karawang,9529,24,-,314,0,5,-,13,233,164,1244,187,1281,-,1422,406,578,147,3,188,91,48,52,556,308,8,15,18,220,43,287,866,33,114,194,41,200,55,58,113,4
Bekasi,14195,21,-,891,115,35,36,86,1321,71,1206,310,1282,-,1486,605,1586,93,21,115,302,234,193,686,489,-,62,21,105,35,250,1314,45,100,267,60,219,90,91,350,1
Bandung Barat,8735,-,-,316,80,-,-,11,182,18,221,33,271,-,1507,1740,125,9,4,139,82,6,7,206,136,-,22,17,625,30,431,577,166,528,431,44,171,242,46,275,33
Pangandaran,13405,99,-,702,7,49,18,50,1000,61,624,217,4007,-,1841,597,240,87,48,56,186,238,1056,682,364,-,36,230,444,8,46,28,21,31,35,0,163,85,12,26,11
Kota Bogor,13183,96,-,621,152,54,205,87,839,77,232,86,869,-,1316,631,992,129,77,92,146,241,36,1720,328,-,24,31,136,23,649,1251,359,175,131,156,271,178,228,532,14
Kota Sukabumi,9828,-,-,264,183,-,45,25,313,13,161,8,170,-,825,1613,161,63,-,140,27,39,155,852,437,-,-,35,203,22,817,1279,335,404,24,214,155,194,172,476,4
Kota Bandung,12012,81,-,488,194,21,143,4,957,25,455,31,549,-,2180,868,427,197,10,306,199,491,79,1280,680,25,66,123,212,22,503,112,59,281,215,50,166,147,6,355,8
Kota Cirebon,9221,21,-,144,123,11,100,5,443,90,567,-,1111,-,446,310,853,305,-,12,259,564,182,1152,438,226,214,127,51,6,198,150,19,32,434,7,246,164,3,199,9
Kota Bekasi,24259,598,-,1878,960,128,269,273,2526,232,1185,218,1136,-,1308,955,2575,629,7,439,557,1003,163,2427,1279,63,176,169,242,8,285,953,71,92,251,235,366,75,179,333,13
Kota Depok,19945,115,-,1144,507,30,153,205,2176,93,650,126,1172,-,2217,672,2055,151,42,229,259,629,116,2028,699,34,209,125,81,42,478,1065,37,244,95,339,147,308,98,1061,114
Kota Cimahi,11010,-,-,449,43,38,24,9,970,25,319,34,228,-,1540,1602,420,171,2,416,137,256,165,1081,450,-,56,62,241,11,523,153,66,354,268,40,197,238,23,373,27
Kota Tasikmalaya,7654,27,-,209,22,2,-,-,51,9,98,127,2693,-,1089,448,316,-,-,47,43,281,50,472,267,11,2,11,151,13,306,138,11,58,200,18,155,139,-,180,9
Kota Banjar,8469,7,-,38,18,8,-,-,54,8,76,440,3538,-,785,164,642,-,-,188,102,391,182,146,288,-,7,39,353,4,199,112,27,54,150,15,124,266,16,29,2
Cilacap,5528,142,-,180,16,24,25,1,332,7,352,232,1266,-,90,57,678,41,6,49,155,229,222,273,113,57,9,65,155,5,36,76,13,16,322,13,58,201,6,-,6
Banyumas,5785,87,-,286,3,-,1,24,259,23,426,36,744,-,33,70,1107,27,20,131,193,181,197,174,76,-,-,51,213,0,289,98,15,19,585,8,82,221,76,0,30
Purbalingga,3426,6,-,336,3,-,11,-,40,64,164,14,227,-,17,18,792,-,-,46,198,84,161,47,69,-,-,4,59,32,561,62,13,5,190,-,9,149,30,-,16
Banjarnegara,5316,-,-,410,-,-,-,2,90,1,300,15,1258,-,71,69,711,10,-,5,192,81,59,9,76,-,-,1,188,43,647,102,51,20,36,13,6,765,61,-,24
Kebumen,4527,4,-,86,-,11,41,36,244,3,324,221,163,-,22,311,882,2,-,72,72,72,567,368,80,-,3,14,304,14,93,119,34,8,107,3,36,196,18,-,-
Purworejo,4715,-,-,122,3,43,-,-,69,13,374,365,17,-,14,400,1481,5,-,33,148,74,290,299,7,-,6,51,104,-,162,94,45,-,120,0,42,319,10,3,2
Wonosobo,4777,-,-,200,-,15,-,-,10,9,76,1,500,-,90,686,360,20,-,15,144,52,98,156,85,-,-,13,407,1,487,106,68,50,73,-,15,966,43,5,28
Magelang,3438,-,-,118,9,-,-,2,18,0,82,9,113,-,-,521,1017,-,-,14,285,55,20,60,36,-,3,19,95,1,66,91,12,28,178,1,-,542,33,-,10
Boyolali,4070,-,-,52,-,3,-,8,2,14,344,31,183,-,11,212,1250,164,-,51,65,-,60,200,96,18,2,5,88,-,249,176,17,1,670,20,-,65,10,-,5
Klaten,4921,-,-,200,33,-,-,3,26,30,612,50,-,-,13,303,1941,113,-,124,28,21,4,158,112,16,32,-,25,15,108,164,21,2,481,12,132,103,25,1,14
Sukoharjo,5888,5,-,86,116,5,6,9,35,12,400,-,23,-,53,750,1622,270,17,378,15,72,38,192,45,-,15,73,44,96,206,114,67,10,937,22,78,36,40,-,-
Wonogiri,4377,24,-,338,51,23,-,46,19,24,646,44,147,-,15,838,973,-,-,108,8,-,102,131,19,-,-,0,51,2,106,166,24,4,351,3,8,92,14,-,0
Karanganyar,5069,-,-,106,27,6,-,9,18,30,476,-,16,-,11,471,1550,265,-,211,-,60,7,132,27,-,-,3,159,-,177,187,89,14,856,11,23,53,75,-,-
Sragen,6428,-,-,80,3,-,12,20,11,23,421,4,105,-,6,748,1753,74,-,399,9,43,68,123,42,-,50,26,162,18,212,255,147,21,1325,43,37,116,49,12,13
Grobogan,5025,-,-,91,-,-,15,10,295,22,334,96,64,-,19,399,1849,14,-,52,134,29,135,124,88,-,23,57,315,5,160,218,41,4,136,3,28,211,34,12,13
Blora,4213,23,-,58,-,-,-,2,16,17,408,29,48,-,5,193,1029,36,-,105,17,46,95,368,61,-,-,10,132,6,332,171,203,21,15,-,14,731,2,-,15
Rembang,8389,170,-,564,-,-,49,203,848,115,940,58,143,-,-,130,596,143,2,20,20,16,799,534,826,33,34,73,213,27,211,82,209,-,20,5,31,1240,17,5,12
Pati,14260,158,-,159,-,53,29,7,679,228,2784,384,1533,-,140,854,1658,58,-,132,207,61,551,1847,533,122,137,127,225,5,291,173,64,7,68,-,40,897,6,25,18
Kudus,11094,176,-,177,8,-,86,6,277,169,1796,220,1000,-,87,1220,2816,117,-,89,294,73,194,817,575,53,70,23,128,19,198,118,3,-,164,1,14,104,1,4,-
Jepara,11898,270,-,1079,2,-,114,269,1979,366,1356,67,690,-,12,184,1134,50,1,52,195,66,878,561,1065,113,101,79,193,16,578,190,7,4,17,14,29,105,1,59,1
Demak,10990,41,-,162,-,3,25,26,561,109,1212,611,484,-,133,941,2119,41,-,236,528,99,499,903,398,111,37,81,120,21,433,233,54,5,55,18,31,622,13,16,8
Semarang,5336,10,-,35,-,-,15,-,62,6,407,68,915,-,-,222,1228,47,-,86,94,39,102,125,149,5,16,41,178,3,187,139,74,7,595,-,28,375,2,70,7
Temanggung,3429,-,-,173,11,-,1,-,4,4,45,-,85,-,60,715,741,5,-,2,109,25,27,30,9,-,7,6,70,4,454,97,87,84,95,-,13,425,35,6,-
Kendal,7492,69,-,377,17,4,37,78,253,38,776,49,373,-,42,400,963,82,-,28,415,110,229,629,685,137,91,91,172,32,341,190,51,33,194,3,56,357,16,14,63
Batang,8161,67,-,323,22,6,16,59,199,13,840,13,299,-,30,375,1231,80,-,67,808,11,170,171,442,-,69,30,408,77,878,287,145,24,24,1,5,948,7,9,8
Pekalongan,6979,140,-,290,7,-,32,78,140,20,712,12,304,-,39,183,1301,67,-,33,313,52,137,260,441,6,32,42,161,77,631,178,286,54,71,6,16,809,19,6,23
Pemalang,5337,3,-,225,4,25,61,22,244,57,435,18,234,-,14,39,534,61,-,19,324,36,124,189,614,10,38,17,437,131,384,122,103,16,159,-,-,588,14,25,8
Tegal,3970,7,-,163,17,-,29,79,413,98,366,10,119,-,16,37,475,56,-,5,207,10,156,147,292,13,11,19,140,6,246,61,57,15,125,-,29,537,8,1,2
Brebes,4423,10,-,261,-,13,2,-,241,102,840,72,550,-,10,5,412,68,-,30,94,8,157,288,336,23,20,13,290,1,102,131,22,5,103,3,5,194,2,9,3
Kota Magelang,6553,-,-,225,128,15,36,-,125,45,243,-,31,-,-,1185,1780,8,-,85,149,178,122,977,220,-,-,23,4,3,137,70,7,-,310,6,18,391,26,-,4
Kota Surakarta,7507,37,-,137,267,-,88,6,26,93,743,5,8,-,15,669,1402,950,8,407,37,191,94,568,410,97,24,3,32,38,47,149,71,-,680,2,93,92,8,4,8
Kota Salatiga,9370,-,-,257,97,-,100,-,202,29,298,33,2294,-,42,252,1058,265,-,100,62,135,188,634,343,-,66,60,103,-,166,163,74,3,1468,40,138,660,1,29,10
Kota Semarang,12464,81,-,256,108,-,77,60,293,71,1261,44,780,-,63,959,2122,243,14,222,286,627,374,1434,914,55,166,146,132,26,194,187,24,22,394,110,93,428,73,76,50
Kota Pekalongan,7930,155,-,321,9,13,160,74,415,70,777,80,538,-,10,174,712,215,-,5,206,91,665,992,797,44,25,58,80,39,668,90,51,9,51,-,25,263,19,27,2
Kota Tegal,6804,43,-,534,1,4,152,27,609,51,482,56,408,-,65,43,855,104,-,33,179,77,281,551,908,60,148,16,51,87,304,138,21,2,167,-,151,152,32,8,3
Kulon Progo,4576,-,-,163,33,246,17,-,132,-,153,128,-,-,95,706,1009,20,-,49,115,117,267,412,39,8,6,4,287,-,122,85,1,-,167,-,68,93,30,4,-
Bantul,4719,23,-,148,133,41,6,-,197,8,135,51,41,-,14,532,1423,12,-,75,64,106,195,424,152,3,-,-,4,6,376,160,-,2,226,-,115,35,13,-,-
Gunung Kidul,4953,10,-,562,143,63,30,-,325,430,266,3,144,-,46,418,1084,64,-,92,170,-,296,41,55,11,17,-,42,8,114,71,16,-,140,-,14,264,13,-,2
